 Tabela de Encode ASCII
 ======================
 
 
Decimal	Hexadecimal		UTF-16					UTF-32								Símbolo		Interpretação
0		0x00			\xff\xfe\x00\x00		\xff\xfe\x00\x00\x00\x00\x00\x00	NULL		Null
229		0xE5			\xff\xfe\xE5\x00		\xff\xfe\x00\x00\xE5\x00\x00\x00	å	 		Latin Small Letter A with Ring Above
230		0xE6			\xff\xfe\xE6\x00		\xff\xfe\x00\x00\xE6\x00\x00\x00	æ	 		Latin Small Letter AE
231		0xE7			\xff\xfe\xE7\x00		\xff\xfe\x00\x00\xE7\x00\x00\x00	ç	 		Latin Small Letter C with Cedilla
232		0xE8			\xff\xfe\xE8\x00		\xff\xfe\x00\x00\xE8\x00\x00\x00	è	 		Latin Small Letter E with Grave
233		0xE9			\xff\xfe\xE9\x00		\xff\xfe\x00\x00\xE9\x00\x00\x00	é	 		Latin Small Letter E with Acute
234		0xEA			\xff\xfe\xEA\x00		\xff\xfe\x00\x00\xEA\x00\x00\x00	ê	 		Latin Small Letter E with Circumflex
235		0xEB			\xff\xfe\xEB\x00		\xff\xfe\x00\x00\xEB\x00\x00\x00	ë	 		Latin Small Letter E with Diaeresis
236		0xEC			\xff\xfe\xEC\x00		\xff\xfe\x00\x00\xEC\x00\x00\x00	ì	 		Latin Small Letter I with Grave
237		0xED			\xff\xfe\xED\x00		\xff\xfe\x00\x00\xED\x00\x00\x00	í	 		Latin Small Letter I with Acute
238		0xEE			\xff\xfe\xEE\x00		\xff\xfe\x00\x00\xEE\x00\x00\x00	î	 		Latin Small Letter I with Circumflex
239		0xEF			\xff\xfe\xEF\x00		\xff\xfe\x00\x00\xEF\x00\x00\x00	ï	 		Latin Small Letter I with Diaeresis
240		0xF0			\xff\xfe\xF0\x00		\xff\xfe\x00\x00\xF0\x00\x00\x00	ð	 		Latin Small Letter ETH
241		0xF1			\xff\xfe\xF1\x00		\xff\xfe\x00\x00\xF1\x00\x00\x00	ñ	 		Latin Small Letter N with Tilde
242		0xF2			\xff\xfe\xF2\x00		\xff\xfe\x00\x00\xF2\x00\x00\x00	ò	 		Latin Small Letter O with Grave
243		0xF3			\xff\xfe\xF3\x00		\xff\xfe\x00\x00\xF3\x00\x00\x00	ó	 		Latin Small Letter O with Acute
244		0xF4			\xff\xfe\xF4\x00		\xff\xfe\x00\x00\xF4\x00\x00\x00	ô	 		Latin Small Letter O with Circumflex
245		0xF5			\xff\xfe\xF5\x00		\xff\xfe\x00\x00\xF5\x00\x00\x00	õ	 		Latin Small Letter O with Tilde
246		0xF6			\xff\xfe\xF6\x00		\xff\xfe\x00\x00\xF6\x00\x00\x00	ö	 		Latin Small Letter O with Diaeresis
247		0xF7			\xff\xfe\xF7\x00		\xff\xfe\x00\x00\xF7\x00\x00\x00	÷	 		Division
248		0xF8			\xff\xfe\xF8\x00		\xff\xfe\x00\x00\xF8\x00\x00\x00	ø	 		Latin Small Letter O with Stroke
249		0xF9			\xff\xfe\xF9\x00		\xff\xfe\x00\x00\xF9\x00\x00\x00	ù	 		Latin Small Letter U with Grave
250		0xFA			\xff\xfe\xFA\x00		\xff\xfe\x00\x00\xFA\x00\x00\x00	ú	 		Latin Small Letter U with Acute
251		0xFB			\xff\xfe\xFB\x00		\xff\xfe\x00\x00\xFB\x00\x00\x00	û	 		Latin Small Letter U with Circumflex
252		0xFC			\xff\xfe\xFC\x00		\xff\xfe\x00\x00\xFC\x00\x00\x00	ü	 		Latin Small Letter U with Diaeresis
253		0xFD			\xff\xfe\xFD\x00		\xff\xfe\x00\x00\xFD\x00\x00\x00	ý	 		Latin Small Letter Y with Acute
254		0xFE			\xff\xfe\xFE\x00		\xff\xfe\x00\x00\xFE\x00\x00\x00	þ	 		Latin Small Letter Thorn
255		0xFF			\xff\xfe\xFF\x00		\xff\xfe\x00\x00\xFF\x00\x00\x00	ÿ	 		Latin Small Letter Y with Diaeresis
