 Tabela de Encode ASCII
 ======================
 
 
Decimal	Hexadecimal		UTF-16					UTF-32								Símbolo		Interpretação
0		0x00			\xff\xfe\x00\x00		\xff\xfe\x00\x00\x00\x00\x00\x00	NULL		Null
54		0x36			\xff\xfe\x36\x00		\xff\xfe\x00\x00\x36\x00\x00\x00	6	 		Six
55		0x37			\xff\xfe\x37\x00		\xff\xfe\x00\x00\x37\x00\x00\x00	7	 		Seven
56		0x38			\xff\xfe\x38\x00		\xff\xfe\x00\x00\x38\x00\x00\x00	8	 		Eight
57		0x39			\xff\xfe\x39\x00		\xff\xfe\x00\x00\x39\x00\x00\x00	9	 		Nine
58		0x3A			\xff\xfe\x3A\x00		\xff\xfe\x00\x00\x3A\x00\x00\x00	:	 		Colon
59		0x3B			\xff\xfe\x3B\x00		\xff\xfe\x00\x00\x3B\x00\x00\x00	;	 		Semicolon
60		0x3C			\xff\xfe\x3C\x00		\xff\xfe\x00\x00\x3C\x00\x00\x00	< 	 		Less-Than
61		0x3D			\xff\xfe\x3D\x00		\xff\xfe\x00\x00\x3D\x00\x00\x00	=	 		Equals
62		0x3E			\xff\xfe\x3E\x00		\xff\xfe\x00\x00\x3E\x00\x00\x00	> 	 		Greater-Than
63		0x3F			\xff\xfe\x3F\x00		\xff\xfe\x00\x00\x3F\x00\x00\x00	?	 		Question
64		0x40			\xff\xfe\x40\x00		\xff\xfe\x00\x00\x40\x00\x00\x00	@	 		Commercial At
65		0x41			\xff\xfe\x41\x00		\xff\xfe\x00\x00\x41\x00\x00\x00	A	 		Letter A
66		0x42			\xff\xfe\x42\x00		\xff\xfe\x00\x00\x42\x00\x00\x00	B	 		Letter B
67		0x43			\xff\xfe\x43\x00		\xff\xfe\x00\x00\x43\x00\x00\x00	C	 		Letter C
68		0x44			\xff\xfe\x44\x00		\xff\xfe\x00\x00\x44\x00\x00\x00	D	 		Letter D
69		0x45			\xff\xfe\x45\x00		\xff\xfe\x00\x00\x45\x00\x00\x00	E	 		Letter E
70		0x46			\xff\xfe\x46\x00		\xff\xfe\x00\x00\x46\x00\x00\x00	F	 		Letter F
71		0x47			\xff\xfe\x47\x00		\xff\xfe\x00\x00\x47\x00\x00\x00	G	 		Letter G
72		0x48			\xff\xfe\x48\x00		\xff\xfe\x00\x00\x48\x00\x00\x00	H	 		Letter H
73		0x49			\xff\xfe\x49\x00		\xff\xfe\x00\x00\x49\x00\x00\x00	I	 		Letter I
74		0x4A			\xff\xfe\x4A\x00		\xff\xfe\x00\x00\x4A\x00\x00\x00	J	 		Letter J
75		0x4B			\xff\xfe\x4B\x00		\xff\xfe\x00\x00\x4B\x00\x00\x00	K	 		Letter K
76		0x4C			\xff\xfe\x4C\x00		\xff\xfe\x00\x00\x4C\x00\x00\x00	L	 		Letter L
77		0x4D			\xff\xfe\x4D\x00		\xff\xfe\x00\x00\x4D\x00\x00\x00	M	 		Letter M
78		0x4E			\xff\xfe\x4E\x00		\xff\xfe\x00\x00\x4E\x00\x00\x00	N	 		Letter N
79		0x4F			\xff\xfe\x4F\x00		\xff\xfe\x00\x00\x4F\x00\x00\x00	O	 		Letter O
80		0x50			\xff\xfe\x50\x00		\xff\xfe\x00\x00\x50\x00\x00\x00	P	 		Letter P
81		0x51			\xff\xfe\x51\x00		\xff\xfe\x00\x00\x51\x00\x00\x00	Q	 		Letter Q
82		0x52			\xff\xfe\x52\x00		\xff\xfe\x00\x00\x52\x00\x00\x00	R	 		Letter R
83		0x53			\xff\xfe\x53\x00		\xff\xfe\x00\x00\x53\x00\x00\x00	S	 		Letter S
84		0x54			\xff\xfe\x54\x00		\xff\xfe\x00\x00\x54\x00\x00\x00	T	 		Letter T
85		0x55			\xff\xfe\x55\x00		\xff\xfe\x00\x00\x55\x00\x00\x00	U	 		Letter U
86		0x56			\xff\xfe\x56\x00		\xff\xfe\x00\x00\x56\x00\x00\x00	V	 		Letter V
87		0x57			\xff\xfe\x57\x00		\xff\xfe\x00\x00\x57\x00\x00\x00	W	 		Letter W
88		0x58			\xff\xfe\x58\x00		\xff\xfe\x00\x00\x58\x00\x00\x00	X	 		Letter X
89		0x59			\xff\xfe\x59\x00		\xff\xfe\x00\x00\x59\x00\x00\x00	Y	 		Letter Y
90		0x5A			\xff\xfe\x5A\x00		\xff\xfe\x00\x00\x5A\x00\x00\x00	Z	 		Letter Z
91		0x5B			\xff\xfe\x5B\x00		\xff\xfe\x00\x00\x5B\x00\x00\x00	[	 		Left Square Bracket
92		0x5C			\xff\xfe\x5C\x00		\xff\xfe\x00\x00\x5C\x00\x00\x00	\	 		Backslash (Reverse Slash)
93		0x5D			\xff\xfe\x5D\x00		\xff\xfe\x00\x00\x5D\x00\x00\x00	[	 		Right Square Bracket
94		0x5E			\xff\xfe\x5E\x00		\xff\xfe\x00\x00\x5E\x00\x00\x00	^	 		Circumflex
95		0x5F			\xff\xfe\x5F\x00		\xff\xfe\x00\x00\x5F\x00\x00\x00	_	 		Low Line
96		0x60			\xff\xfe\x60\x00		\xff\xfe\x00\x00\x60\x00\x00\x00	`	 		Grave Accent
97		0x61			\xff\xfe\x61\x00		\xff\xfe\x00\x00\x61\x00\x00\x00	a	 		Letter a
98		0x62			\xff\xfe\x62\x00		\xff\xfe\x00\x00\x62\x00\x00\x00	b	 		Letter b
99		0x63			\xff\xfe\x63\x00		\xff\xfe\x00\x00\x63\x00\x00\x00	c	 		Letter c
100		0x64			\xff\xfe\x64\x00		\xff\xfe\x00\x00\x64\x00\x00\x00	d	 		Letter d
101		0x65			\xff\xfe\x65\x00		\xff\xfe\x00\x00\x65\x00\x00\x00	e	 		Letter e
102		0x66			\xff\xfe\x66\x00		\xff\xfe\x00\x00\x66\x00\x00\x00	f	 		Letter f
103		0x67			\xff\xfe\x67\x00		\xff\xfe\x00\x00\x67\x00\x00\x00	g	 		Letter g
104		0x68			\xff\xfe\x68\x00		\xff\xfe\x00\x00\x68\x00\x00\x00	h	 		Letter h
105		0x69			\xff\xfe\x69\x00		\xff\xfe\x00\x00\x69\x00\x00\x00	i	 		Letter i
106		0x6A			\xff\xfe\x6A\x00		\xff\xfe\x00\x00\x6A\x00\x00\x00	j	 		Letter j
107		0x6B			\xff\xfe\x6B\x00		\xff\xfe\x00\x00\x6B\x00\x00\x00	k	 		Letter k
108		0x6C			\xff\xfe\x6C\x00		\xff\xfe\x00\x00\x6C\x00\x00\x00	l	 		Letter l
109		0x6D			\xff\xfe\x6D\x00		\xff\xfe\x00\x00\x6D\x00\x00\x00	m	 		Letter m
110		0x6E			\xff\xfe\x6E\x00		\xff\xfe\x00\x00\x6E\x00\x00\x00	n	 		Letter n
111		0x6F			\xff\xfe\x6F\x00		\xff\xfe\x00\x00\x6F\x00\x00\x00	o	 		Letter o
112		0x70			\xff\xfe\x70\x00		\xff\xfe\x00\x00\x70\x00\x00\x00	p	 		Letter p
113		0x71			\xff\xfe\x71\x00		\xff\xfe\x00\x00\x71\x00\x00\x00	q	 		Letter q
114		0x72			\xff\xfe\x72\x00		\xff\xfe\x00\x00\x72\x00\x00\x00	r	 		Letter r
115		0x73			\xff\xfe\x73\x00		\xff\xfe\x00\x00\x73\x00\x00\x00	s	 		Letter s
116		0x74			\xff\xfe\x74\x00		\xff\xfe\x00\x00\x74\x00\x00\x00	t	 		Letter t
117		0x75			\xff\xfe\x75\x00		\xff\xfe\x00\x00\x75\x00\x00\x00	u	 		Letter u
118		0x76			\xff\xfe\x76\x00		\xff\xfe\x00\x00\x76\x00\x00\x00	v	 		Letter v
